集計年,都道府県コード,都道府県名,男女区分,0～4歳（人）,5～9歳（人）,10～14歳（人）,15～19歳（人）,20～24歳（人）,25～29歳（人）,30～34歳（人）,35～39歳（人）,40～44歳（人）,45～49歳（人）,50～54歳（人）,55～59歳（人）,60～64歳（人）,65～69歳（人）,70～74歳（人）,75～79歳（人）,80～84歳（人）,85～89歳（人）,90歳以上（人）
1980,37,香川県,男,36242,42305,35567,31131,24930,34598,46267,35389,32087,34993,33564,24572,19260,18164,14424,9894,5295,1765,468
1980,37,香川県,女,34474,39872,33784,31443,30063,35837,45395,36003,33628,36674,35571,31066,25820,24007,18990,13210,8223,3388,1203
1985,37,香川県,男,31057,36644,42487,33749,24560,29426,35663,46712,35279,31832,34057,32390,23495,17929,15944,11505,6532,2626,717
1985,37,香川県,女,29460,34999,40048,32894,28617,30845,36210,45583,35731,33227,36201,35129,30422,24793,22414,16572,10032,4968,1664
1990,37,香川県,男,26512,31329,36747,39512,25860,27124,30052,35874,46368,34494,30715,32790,30790,21783,15900,12868,7805,3394,1065
1990,37,香川県,女,25394,29783,34964,38333,29392,28925,30991,36230,45278,35025,32694,35665,34381,29319,23276,19881,13024,6342,2580
1995,37,香川県,男,23968,27165,31674,35158,33199,29204,28272,30689,36437,46318,34247,29983,31320,28671,19542,13049,8911,4270,1360
1995,37,香川県,女,22845,25948,30074,33477,34850,30618,29234,31592,36455,44981,34784,32531,35055,33334,27936,21020,16217,8809,3731
2000,37,香川県,男,24109,24352,27442,29815,28613,35844,30015,28672,30967,36119,45291,33117,28956,29157,25675,16532,9573,5091,2063
2000,37,香川県,女,23022,23127,26163,27891,29147,36423,30696,29591,31553,36074,44529,34473,32095,34006,31662,25540,17583,11530,5830
2005,37,香川県,男,23079,24084,24104,25653,23311,29511,35850,29696,28349,30269,35164,43907,32078,27576,26503,21908,12550,6025,2728
2005,37,香川県,女,21885,23005,22981,23950,22882,29777,35761,30176,29076,30984,35602,44126,34159,31340,32650,29533,22151,13347,8718
2010,37,香川県,男,20675,23046,23647,23029,19881,24375,29880,35612,29452,27661,29522,34161,42539,30411,25060,22594,16693,7735,3373
2010,37,香川県,女,19956,21728,22618,20918,20092,24605,30066,35440,30001,28650,30591,35309,43667,33336,30010,30350,25737,16871,11075
2015,37,香川県,男,19519,20743,22964,23083,20349,21995,25463,30465,36168,29780,28010,29683,34020,41506,28607,22242,18054,11055,4801
2015,37,香川県,女,18516,19800,21511,21259,18918,21116,24579,29773,35198,29701,28494,30519,35201,43213,32470,28456,27095,20293,14740
2020,37,香川県,男,17100,19463,20601,22500,21203,21339,22189,25319,30200,35675,29338,27410,28747,32382,38380,25067,17666,12037,6972
2020,37,香川県,女,16222,18331,19574,20554,19980,19597,21005,24242,29432,34713,29365,28213,30137,34481,41689,30476,25290,21498,18770
2025,37,香川県,男,15298,17064,19346,20210,20716,22190,21553,22093,25130,29805,35150,28749,26640,27448,30011,33939,20124,12016,8503
2025,37,香川県,女,14513,16065,18136,18710,19356,20689,19537,20750,23990,29041,34326,29104,27918,29561,33308,39309,27260,20379,21922
2030,37,香川県,男,14378,15269,16962,18985,18635,21685,22390,21453,21934,24816,29382,34444,27996,25532,25530,26615,27655,13894,9295
2030,37,香川県,女,13641,14380,15898,17335,17636,20036,20624,19302,20543,23673,28721,34019,28826,27429,28612,31449,35441,22220,23192
2035,37,香川県,男,13728,14353,15180,16644,17511,19556,21871,22279,21300,21671,24479,28805,33527,26892,23845,22783,21797,19550,10712
2035,37,香川県,女,13026,13515,14230,15199,16339,18289,19966,20375,19110,20277,23422,28476,33695,28355,26609,27101,28394,29339,25327
2040,37,香川県,男,12981,13706,14269,14896,15355,18393,19748,21760,22121,21051,21387,24021,28070,32207,25181,21401,18859,15482,14538
2040,37,香川県,女,12317,12904,13375,13605,14328,16951,18233,19726,20177,18870,20066,23241,28221,33150,27550,25285,24598,23578,31475
1980,38,愛媛県,男,54467,63503,57250,50771,38105,51279,63979,50921,47285,50960,49423,37893,28921,25895,21297,14563,8185,2868,802
1980,38,愛媛県,女,51560,60526,53956,50391,46927,55771,64878,53951,52340,55777,55087,47723,38019,34271,27731,19820,12236,5206,1855
1985,38,愛媛県,男,47414,55449,64337,52056,37396,43355,53190,64787,50380,46230,49401,47681,36188,26681,22505,16674,9480,4161,1134
1985,38,愛媛県,女,45512,52379,60867,50310,44795,48063,55644,65172,53644,51639,54968,54461,46608,36425,31770,24228,14945,7432,2609
1990,38,愛媛県,男,40334,47816,55632,56373,35958,39496,43898,53013,63681,48935,44659,47562,45626,33732,23504,18115,11285,4947,1749
1990,38,愛媛県,女,38876,45824,52437,55541,42871,45039,46993,55437,64349,52541,50653,54340,53439,44759,34045,28176,18937,9422,4055
1995,38,愛媛県,男,36236,41095,48317,49529,44455,39942,41393,44884,53212,63259,48073,43723,45879,42358,29953,19181,12739,6062,2202
1995,38,愛媛県,女,34279,39599,46037,47726,48459,44467,44778,47350,55387,63850,52198,50458,53378,51779,42458,30576,22801,12854,5728
2000,38,愛媛県,男,33935,36714,41557,43085,38648,47942,41408,41954,45008,52554,61752,46823,42902,42881,37826,24866,13837,7296,2993
2000,38,愛媛県,女,32723,34711,39700,42140,41496,50409,44440,44904,47316,54928,63298,52071,50111,51966,49152,38764,25347,16269,8881
2005,38,愛媛県,男,31343,34247,36944,37429,33153,40288,47984,41199,41678,44221,51433,60286,46049,40678,38823,31803,18576,8432,3958
2005,38,愛媛県,女,29674,32986,34718,36003,34439,41587,49049,43758,44561,46809,54314,62761,51592,48735,49761,45408,33411,19222,12459
2010,38,愛媛県,男,28767,31568,34467,33744,28370,34670,41111,48112,40722,40976,43169,50298,58729,43709,37072,32897,23873,11491,4714
2010,38,愛媛県,女,27741,29789,32847,31902,30254,35757,41759,49060,43680,44123,46342,53838,62375,50380,46879,46222,39573,25623,16158
2015,38,愛媛県,男,26604,28709,31678,32233,28968,30147,35293,41189,47620,40360,40335,42356,48786,55897,40202,31997,25399,15430,6778
2015,38,愛媛県,女,25238,27640,29636,30995,28831,30912,35377,41318,48657,43225,43728,45938,53422,61280,48845,44076,40877,31115,22371
2020,38,愛媛県,男,23101,26500,28722,30230,29165,30120,30367,35058,40540,46895,39491,39284,40746,46080,51348,34802,25016,16816,9675
2020,38,愛媛県,女,21917,25125,27493,28508,29135,29387,30614,34967,40906,48104,42752,43215,45334,52214,59187,45799,39087,32578,29221
2025,38,愛媛県,男,20739,23032,26542,27462,27417,30319,30363,30216,34542,39940,45917,38563,37950,38629,42428,44933,27542,16917,11723
2025,38,愛媛県,女,19674,21833,25014,26511,26863,29738,29172,30313,34660,40466,47596,42296,42731,44371,50472,55765,40897,31635,34270
2030,38,愛媛県,男,19490,20682,23073,25416,24953,28521,30552,30202,29776,34053,39130,44862,37382,36118,35719,37256,36158,18938,12817
2030,38,愛媛県,女,18491,19606,21744,24141,25113,27438,29506,28884,30063,34301,40057,47102,41897,41887,42972,47603,50221,33503,36776
2035,38,愛媛県,男,18452,19446,20725,22113,23141,26010,28740,30385,29768,29372,33393,38279,43520,35695,33531,31591,30135,25466,14493
2035,38,愛媛県,女,17505,18432,19534,21002,22877,25646,27228,29206,28649,29766,33971,39660,46684,41122,40645,40655,42942,41800,39884
2040,38,愛媛県,男,17281,18413,19488,19876,20151,24118,26221,28588,29953,29373,28821,32711,37183,41601,33261,29842,25844,21340,18970
2040,38,愛媛県,女,16394,17455,18363,18877,19918,23370,25457,26956,28963,28370,29491,33654,39331,45845,39969,38567,36879,35828,47896
1980,39,高知県,男,27802,32756,28513,26088,20770,27713,35338,28169,25960,29213,29013,22428,17270,15150,12499,9348,5467,1932,547
1980,39,高知県,女,26519,31084,26975,24794,23436,29012,35279,29583,28003,31624,32119,28677,23291,20867,16621,13116,8677,3578,1314
1985,39,高知県,男,24759,28464,32933,25605,19643,23426,28646,35485,27815,25278,28253,27841,21241,15874,13107,9640,6075,2762,804
1985,39,高知県,女,23992,27051,31381,24787,22416,24882,29405,35450,29421,27645,31224,31641,28063,22362,19489,14413,10017,5291,1925
1990,39,高知県,男,20311,24880,28521,29193,17433,20675,23306,28152,34720,26976,24282,27085,26572,19709,13932,10459,6531,3212,1231
1990,39,高知県,女,19746,23949,26869,28023,20747,22698,24415,29037,34830,28806,27295,30724,31026,27095,21029,17376,11409,6527,2998
1995,39,高知県,男,18494,20653,24945,26270,22842,19796,21693,23816,28390,34550,26578,23696,26128,24901,17550,11363,7220,3611,1535
1995,39,高知県,女,17440,20196,24105,24889,24305,21955,23030,24614,28877,34628,28624,27103,30424,30302,25815,19062,14402,7961,4245
2000,39,高知県,男,17362,18787,20904,23489,21676,25283,20807,22070,24005,28313,34225,26180,23446,24835,22397,14798,8366,4200,1893
2000,39,高知県,女,16548,17836,20303,22386,21589,25676,22491,23266,24641,28829,34574,28853,27251,29943,29103,23735,16090,10537,5832
2005,39,高知県,男,15883,17622,18830,19877,18624,21782,25166,20784,21907,23639,27819,33406,25667,22227,22400,18881,11129,5116,2315
2005,39,高知県,女,15397,16641,17840,18966,18521,21564,25678,22217,23063,24337,28520,34499,28754,26613,28705,27164,20773,12408,8123
2010,39,高知県,男,14358,15725,17522,18222,14454,17481,21375,24748,20462,21424,23127,26911,32571,24182,20154,18992,14193,6814,2785
2010,39,高知県,女,13527,15147,16519,16864,14627,17787,21233,25354,21913,22670,24035,28176,34106,28027,25429,26782,23931,16298,10561
2015,39,高知県,男,12944,14215,15672,17225,15275,14463,17517,21353,24644,20350,21292,22659,26314,31024,22331,17524,14741,9152,4010
2015,39,高知県,女,12283,13322,15087,16002,14442,14339,17439,20928,24967,21619,22446,23820,27915,33524,27092,24029,23966,19260,14494
2020,39,高知県,男,11172,12828,14152,15544,15326,15217,14388,17342,21063,24267,20014,20658,21851,24777,28463,19383,13728,9697,5736
2020,39,高知県,女,10607,12123,13261,14794,14508,14299,14127,17193,20612,24627,21362,22168,23477,27283,32290,25464,21494,19460,18592
2025,39,高知県,男,9848,11085,12792,14085,13871,15294,15146,14269,17130,20757,23876,19477,20026,20654,22787,24965,15362,9235,6852
2025,39,高知県,女,9343,10471,12077,13061,13452,14382,14112,13956,16953,20343,24342,21127,21894,22979,26303,30499,22936,17713,21287
2030,39,高知県,男,9108,9770,11055,12768,12590,13871,15223,15017,14109,16890,20441,23253,18975,19010,19086,20053,20111,10515,7239
2030,39,高知県,女,8645,9231,10439,11930,11907,13350,14192,13945,13768,16734,20117,24082,20900,21461,22203,24879,27697,19101,21977
2035,39,高知県,男,8530,9043,9750,11051,11412,12599,13816,15091,14846,13931,16656,19926,22657,18085,17646,16917,16229,14123,8168
2035,39,高知県,女,8089,8547,9205,10320,10888,11820,13174,14020,13759,13600,16559,19913,23828,20519,20778,21070,22630,23399,23542
2040,39,高知県,男,7964,8469,9028,9767,9888,11426,12553,13703,14921,14658,13754,16267,19442,21620,16869,15744,13846,11484,10682
2040,39,高知県,女,7555,8001,8517,9114,9425,10798,11663,13010,13834,13588,13466,16407,19721,23413,19906,19778,19273,19162,27798
1980,40,福岡県,男,174058,193736,170806,164371,163346,177936,204410,162739,149007,150130,135669,99483,75366,68223,51376,33027,17057,5733,1376
1980,40,福岡県,女,166152,182807,162223,155301,162108,186930,212726,174135,162882,162420,146874,126659,100557,88370,68524,48010,29165,11979,3655
1985,40,福岡県,男,157203,175645,194270,175801,158166,149327,179764,203805,161004,145615,145315,129900,93959,68617,58800,39772,21729,8584,2281
1985,40,福岡県,女,149788,167371,183934,167082,159311,159014,186037,212457,173283,161835,160731,144496,123368,96093,82100,59891,37107,18136,6118
1990,40,福岡県,男,132985,157339,175535,202537,167932,137096,147853,177590,201040,156791,141058,138857,122917,86518,59781,46531,26589,11291,3522
1990,40,福岡県,女,126556,150182,167759,189682,168631,153340,156219,185025,211071,171084,159640,158182,141333,118581,89926,73210,47960,24026,9934
1995,40,福岡県,男,121318,136136,159415,186825,202867,151423,143225,150964,180116,202534,156301,138820,133421,113717,76228,48176,32130,14165,5018
1995,40,福岡県,女,116132,129643,152526,176543,195686,166559,154397,158518,187122,211950,170638,158863,155698,137035,112312,81152,60365,33250,15026
2000,40,福岡県,男,119196,123648,137127,168237,187096,182659,154561,144397,151149,178827,198849,152774,134644,123872,100770,63869,35164,18600,7092
2000,40,福岡県,女,113818,118056,130895,160447,181246,191626,166750,155736,159500,186909,211043,169442,157188,151274,130162,103154,68568,43886,23879
2005,40,福岡県,男,113827,119993,123304,144505,163159,160278,177976,152147,142477,148130,174400,193302,147915,126410,110616,83917,47351,20859,9939
2005,40,福岡県,女,108361,114578,118160,137992,159926,169526,186331,163909,154329,158270,184768,208324,167077,152454,144294,120524,89271,52465,34911
2010,40,福岡県,男,113985,115156,120726,130715,137098,144669,162410,181228,155111,143909,148511,173417,191748,141785,115680,93940,63198,28784,11307
2010,40,福岡県,女,108887,109796,115574,126211,138706,155870,171353,189258,167091,156522,159372,185965,208768,165220,147786,135537,106503,69251,44385
2015,40,福岡県,男,108404,113660,115116,124706,131215,129415,145446,162974,182095,155557,143789,146628,169827,183611,131298,101310,74343,41677,17158
2015,40,福岡県,女,102838,108620,110038,120117,128393,135437,154501,170569,189292,167241,156197,158769,184426,206045,161040,140905,123093,86818,63056
2020,40,福岡県,男,95609,107561,113102,117492,125354,126004,128967,144404,161766,180514,153557,140582,141994,160848,169213,114705,80415,49788,26098
2020,40,福岡県,女,90707,102131,108323,112860,122577,126757,134228,153022,169532,188304,165972,154705,156486,180655,199481,152458,127338,100530,84018
2025,40,福岡県,男,87853,94909,107094,115300,118223,120632,125781,128191,143459,160403,178238,150364,136625,134995,148537,149323,92152,55009,34225
2025,40,福岡県,女,83351,90121,101912,110960,115396,121268,125973,133175,152218,168678,186932,164522,152731,153507,175013,189686,138759,105543,104666
2030,40,福岡県,男,83861,87205,94508,109159,116028,113932,120513,125011,127383,142308,158414,174612,146394,130386,125270,131462,121917,64122,40676
2030,40,福岡県,女,79563,82805,89937,104405,113436,114281,120580,125024,132528,151482,167463,185360,162568,150054,149043,166534,173906,116377,119647
2035,40,福岡県,男,80043,83237,86829,96303,109852,111881,113848,119827,124230,126412,140629,155257,170058,140074,121596,111771,107779,86963,48697
2035,40,福岡県,女,75944,79035,82630,92121,106775,112364,113655,119692,124441,131921,150420,166060,183226,159884,146013,142338,152795,147955,136312
2040,40,福岡県,男,75696,79458,82872,88427,96903,105933,111761,113217,119101,123305,125019,137961,151247,162880,131096,109346,92819,77316,65597
2040,40,福岡県,女,71817,75451,78869,84594,94191,105757,111705,112836,119170,123882,131037,149191,164181,180296,155817,139944,131360,130179,169255
1980,41,佐賀県,男,33192,35781,33887,30767,24862,31665,33676,25552,25900,28433,28041,21088,16394,14803,12334,8321,4326,1495,373
1980,41,佐賀県,女,31349,34039,32372,31367,29658,33433,33619,28261,28577,31236,30604,27188,22208,20651,16620,12061,7333,3121,939
1985,41,佐賀県,男,30548,33881,36185,29682,23208,26509,32569,34060,25573,25343,27736,27062,20076,14981,12639,9397,5238,2045,561
1985,41,佐賀県,女,29101,31989,34410,30198,27420,29268,32926,33892,28191,28367,30870,30064,26509,21125,19087,14391,9079,4382,1428
1990,41,佐賀県,男,26173,30805,34217,32099,21538,23394,26615,32569,33622,25019,24585,26699,25704,18483,13097,10026,6245,2775,791
1990,41,佐賀県,女,24940,29299,32180,32238,25881,26475,28267,32853,33733,27788,28015,30450,29390,25379,19777,16816,11381,5815,2387
1995,41,佐賀県,男,23803,27037,31529,31758,25787,23035,24402,27558,33252,34002,24805,24270,25547,23678,16274,10564,6852,3343,1162
1995,41,佐賀県,女,22276,25768,29894,30753,28116,25853,26239,28793,33286,33714,27702,27893,29906,28609,24066,17777,13707,7729,3568
2000,41,佐賀県,男,22425,24157,27559,29009,24659,26449,23189,24511,27593,32754,33329,24232,23445,23770,20946,13365,7495,3834,1568
2000,41,佐賀県,女,21192,22639,26056,28096,26164,27414,25465,26294,28891,33209,33635,27483,27530,29056,27032,22020,14832,9852,5362
2005,41,佐賀県,男,20497,22775,24556,24880,22360,24632,26078,23226,24493,27101,32319,32679,23545,22183,21433,17483,10073,4502,2019
2005,41,佐賀県,女,19714,21557,22672,24355,23406,25321,26712,25187,26194,28690,33030,33414,27321,26773,27790,25178,19190,11373,7615
2010,41,佐賀県,男,19324,20880,23074,22486,18666,21960,24659,26268,23366,24270,26760,31792,31864,22389,20202,18286,13257,6304,2486
2010,41,佐賀県,女,18446,19982,21741,21331,20310,23126,25320,27003,25366,26120,28586,32885,33068,26724,25754,25964,22112,14917,9701
2015,41,佐賀県,男,17977,19385,21003,21572,19137,18930,22017,24713,26301,23197,24010,26261,30678,30242,20504,17429,14182,8559,3708
2015,41,佐賀県,女,17055,18465,19998,20800,19092,20042,22799,25159,26855,25179,25940,28346,32372,32417,25806,24209,22988,17437,13062
2020,41,佐賀県,男,15939,17973,19426,20027,19414,19349,18926,21939,24555,25973,22835,23454,25241,28959,27715,17779,13697,9362,5391
2020,41,佐賀県,女,15123,17033,18445,19389,19473,19061,19850,22619,24961,26637,24972,25673,27846,31620,31276,24268,21585,18437,16594
2025,41,佐賀県,男,14799,15948,18036,18536,18070,19644,19354,18878,21818,24255,25590,22364,22620,23901,26575,24273,14141,9261,6605
2025,41,佐賀県,女,14041,15111,17028,17891,18192,19457,18922,19728,22457,24761,26430,24747,25264,27232,30512,29546,21783,17574,19332
2030,41,佐賀県,男,14139,14805,16003,17211,16743,18327,19656,19294,18784,21564,23892,25081,21632,21492,22033,23329,19614,9749,7208
2030,41,佐賀県,女,13413,14028,15110,16527,16812,18211,19314,18805,19598,22277,24564,26208,24382,24746,26325,28834,26728,17946,20479
2035,41,佐賀県,男,13497,14145,14852,15274,15546,17007,18348,19596,19189,18576,21255,23415,24279,20613,19910,19488,18912,13846,7893
2035,41,佐賀県,女,12808,13400,14027,14664,15531,16848,18079,19189,18679,19445,22104,24351,25846,23920,23968,24952,26091,22354,21686
2040,41,佐賀県,男,12772,13501,14189,14171,13799,15793,17032,18291,19486,18978,18326,20847,22672,23162,19171,17735,15983,13410,10544
2040,41,佐賀県,女,12119,12794,13399,13606,13785,15566,16733,17965,19063,18538,19298,21916,24016,25372,23204,22787,22692,21833,25655
1980,42,長崎県,男,60532,69040,67142,59988,44744,58335,62686,47108,48228,52827,50354,38065,29434,25780,20532,13374,7031,2396,562
1980,42,長崎県,女,57847,65942,64697,57462,51047,62245,64108,52704,53985,57309,55306,49519,39824,34030,27817,19875,12021,4843,1492
1985,42,長崎県,男,55218,61115,69103,56979,39628,48900,59776,62506,46473,46868,50832,47679,35958,26648,21820,15588,8240,3293,905
1985,42,長崎県,女,52154,58530,65703,55990,46243,52941,61344,63531,51919,52932,55997,53950,47950,37808,31331,23664,14875,7120,2313
1990,42,長崎県,男,46273,55156,60814,58300,35376,41208,48376,58678,60828,44442,44703,48082,45104,32956,23082,17171,10184,4084,1328
1990,42,長崎県,女,44371,52112,58035,57714,42996,46762,51612,60267,62408,50533,51588,54797,52564,45817,35083,27537,18459,9481,3809
1995,42,長崎県,男,40477,46694,54923,52798,41092,39244,42542,49093,58596,60216,43462,43404,46118,41607,29062,18552,11574,5274,1781
1995,42,長崎県,女,38584,44757,51828,53016,45878,44643,46591,51443,59611,61455,49834,50887,53860,50885,43245,31187,22114,12380,5674
2000,42,長崎県,男,36888,40907,46743,47964,36967,43767,40125,43047,48743,57692,58679,42222,42310,42819,36696,23859,13188,6582,2534
2000,42,長崎県,女,34967,38917,44624,46811,40464,46864,44876,46480,50972,58730,60420,49282,50277,52238,48354,39320,25969,15847,8465
2005,42,長崎県,男,32584,37014,40861,40881,33701,37834,43213,39916,42363,47550,56077,56754,41240,40064,38649,30740,17724,7928,3443
2005,42,長崎県,女,31434,35271,38535,40013,36159,39848,46371,44256,45757,50104,57755,59629,48835,49044,49833,44843,33745,19685,12283
2010,42,長崎県,男,30108,32326,36493,36306,28306,33237,37749,43031,39697,41781,46592,54580,55457,39145,36661,32903,22889,10606,4329
2010,42,長崎県,女,28745,31028,34728,34710,30834,35277,39872,45773,43740,45102,49409,56946,59017,47606,47136,46385,39298,25982,16350
2015,42,長崎県,男,27308,29719,32025,33573,29439,28655,33245,37588,42770,39326,41176,45462,52762,52662,36099,31659,25129,14281,6198
2015,42,長崎県,女,25906,28322,30645,32412,29640,30258,34903,39175,45133,43129,44567,48765,56196,57860,46071,44280,41118,30814,22626
2020,42,長崎県,男,23554,26990,29470,30212,29211,29707,28589,32954,37155,42163,38569,40008,43687,49812,48567,31326,24556,16122,8842
2020,42,長崎県,女,22348,25576,28029,29222,29371,29458,29994,34354,38635,44532,42579,43931,47963,54881,55888,43287,39445,32784,29205
2025,42,長崎県,男,21297,23303,26807,27872,26333,29517,29659,28381,32612,36653,41398,37581,38633,41379,45985,42572,24628,16140,10993
2025,42,長崎県,女,20207,22081,25345,26788,26506,29266,29266,29584,33927,38138,43998,42016,43284,46896,53032,52770,38851,31934,34384
2030,42,長崎県,男,20047,21077,23154,25378,24322,26668,29467,29438,28103,32198,36002,40391,36442,36718,38345,40406,34049,16528,12137
2030,42,長崎県,女,19019,19966,21889,24268,24361,26441,29087,28863,29252,33505,37691,43448,41457,42383,45400,50099,47762,31851,36997
2035,42,長崎県,男,18876,19843,20945,21944,22157,24648,26629,29243,29142,27771,31662,35161,39246,34736,34156,33930,32451,23477,13153
2035,42,長崎県,女,17906,18799,19803,20982,22097,24325,26281,28676,28534,28911,33129,37232,42903,40638,41108,43005,45380,39789,39084
2040,42,長崎県,男,17612,18688,19729,19859,19165,22461,24617,26431,28951,28796,27337,30962,34198,37467,32421,30416,27577,22546,17531
2040,42,長崎県,女,16711,17702,18648,18988,19122,22076,24182,25911,28344,28203,28605,32741,36779,42088,39479,39057,39168,37866,46294
1980,43,熊本県,男,64702,70087,67210,66634,54203,64593,70511,54047,54403,60894,58389,43389,34911,30738,25206,16850,9618,3524,829
1980,43,熊本県,女,61845,66760,64423,62958,60486,68934,71168,59544,62380,67384,64866,58061,47323,40839,33880,24137,15670,6684,2076
1985,43,熊本県,男,61407,66450,71446,63070,51308,56652,67637,71923,54168,53706,59673,56965,41802,32426,26892,19755,11133,4982,1442
1985,43,熊本県,女,58428,63488,67854,60226,56706,61760,69188,72228,59735,62034,66642,64240,56995,45354,38072,29744,18806,9818,3431
1990,43,熊本県,男,52708,62192,67171,66409,46598,49065,57110,67426,71157,52782,52225,57500,54776,38876,28720,21771,13496,5867,2140
1990,43,熊本県,女,50686,58925,63952,62756,52558,56278,60685,69431,72117,58969,61229,66153,63095,54903,42560,33961,23927,12332,5464
1995,43,熊本県,男,47282,54084,63212,65807,56431,47196,51743,58768,68501,71053,52291,51499,55984,51343,34962,23584,15307,7485,2735
1995,43,熊本県,女,44857,52081,59946,60752,56635,53921,56746,61625,70127,72019,58891,61097,65393,61544,52433,38608,28136,16713,8074
2000,43,熊本県,男,44420,48524,54943,60781,55209,54173,48865,52641,59116,67918,69757,51299,50767,52950,46383,29545,17335,9187,3794
2000,43,熊本県,女,41968,45945,52854,56693,53832,57563,54392,57467,62050,69667,71576,58979,61045,63756,58814,48521,32816,20761,12158
2005,43,熊本県,男,41633,45116,48675,52744,49550,51032,54214,48664,52221,58211,66644,68525,51026,48811,48383,39681,22527,10808,5106
2005,43,熊本県,女,39415,42535,46273,49600,49250,52740,56620,53897,57035,61616,69320,71425,58813,59822,61371,55056,42294,25642,16776
2010,43,熊本県,男,40373,42188,45413,46655,41088,46599,51628,54906,49166,52042,57577,65649,67912,48903,45122,41751,30429,14119,6039
2010,43,熊本県,女,38853,39870,42909,44002,43118,48865,53710,57561,54511,57001,61222,69082,71146,57694,57621,57653,48762,33350,21823
2015,43,熊本県,男,37647,40379,42325,43976,40571,40651,47179,52036,55186,49151,51703,56767,64224,65136,45581,39606,32871,19867,8423
2015,43,熊本県,女,35717,38837,40018,41668,40635,42881,48844,53639,57568,54336,56683,60905,68597,70219,56122,54695,51715,39277,29908
2020,43,熊本県,男,33244,37543,40376,41460,40140,40262,40791,47079,51739,54700,48470,50599,55011,61063,60541,40119,31543,21962,12323
2020,43,熊本県,女,31538,35626,38843,39245,39831,40606,42762,48549,53346,57202,53875,56152,60128,67257,67984,53085,49133,42104,38315
2025,43,熊本県,男,30942,33179,37585,39627,37935,39899,40441,40774,46833,51275,53977,47566,49253,52445,56784,53768,32310,21533,15189
2025,43,熊本県,女,29356,31482,35677,38146,37577,39864,40583,42577,48319,53009,56748,53448,55541,59004,65118,64584,47989,40551,45129
2030,43,熊本県,男,29625,30880,33224,36959,36355,37716,40080,40406,40581,46424,50586,53008,46487,47112,48921,50484,43958,22456,16481
2030,43,熊本県,女,28107,29302,31534,35097,36626,37638,39845,40406,42392,48019,52590,56341,52958,54577,57222,61838,58818,40048,48312
2035,43,熊本県,男,28311,29565,30916,32694,33954,36146,37882,40032,40208,40247,45824,49670,51851,44593,44097,43725,41344,31299,17864
2035,43,熊本県,女,26859,28059,29348,31048,33742,36686,37611,39662,40236,42145,47647,52199,55869,52102,53031,54475,56312,49790,50635
2040,43,熊本県,男,26824,28257,29603,30424,30062,33732,36298,37836,39836,39889,39752,45019,48543,49783,41867,39591,36162,29540,23495
2040,43,熊本県,女,25445,26813,28104,28898,29870,33783,36651,37447,39496,39998,41834,47301,51744,55002,50715,50619,49832,47639,59438
1980,44,大分県,男,45238,50411,46107,41492,31387,41851,49584,40045,38060,42581,40703,30317,24545,21769,17369,11965,6632,2362,579
1980,44,大分県,女,42663,48158,43813,40744,38365,45749,51788,43836,42983,46639,45221,40151,32089,29195,22845,16217,9955,4083,1269
1985,44,大分県,男,39130,46453,51215,42175,29964,35640,44027,50512,40011,37354,41388,39350,29049,22609,18831,13466,7617,3289,891
1985,44,大分県,女,37060,43920,48724,40687,35451,39510,46011,52470,43731,42608,46142,44612,39199,30730,26968,19624,12009,5837,1875
1990,44,大分県,男,33090,39383,46365,46381,29396,30484,36114,44018,49748,38971,36104,39829,37695,26955,19944,15068,8942,3867,1316
1990,44,大分県,女,31124,37364,43939,43971,33469,35603,38937,45819,51782,42986,41975,45580,43803,37620,28502,23675,15155,7433,2964
1995,44,大分県,男,29650,33820,39742,43040,36166,31228,32316,37096,44458,49603,38357,35459,38608,35254,23946,16184,10371,4791,1649
1995,44,大分県,女,28079,31856,37762,40204,37612,35029,35710,39441,45925,51539,42657,41760,44827,42538,35694,25391,19116,9835,4307
2000,44,大分県,男,28038,30052,34083,36738,33604,36642,32001,32929,37313,43947,48948,37688,34988,36329,31677,20193,11680,5963,2288
2000,44,大分県,女,26765,28555,31946,34763,33660,39230,35273,35805,39479,45555,51410,42745,41685,43609,40265,32749,21178,13455,6515
2005,44,大分県,男,26138,28134,29808,31877,29037,33875,37570,32241,32590,36471,43300,48074,37294,33521,32983,26704,15036,7095,3174
2005,44,大分県,女,24661,26925,28489,29653,29266,34370,38627,34891,35518,39067,45245,51200,42636,40687,41803,37284,28077,15934,9784
2010,44,大分県,男,25158,26300,28132,28776,26644,30308,35584,38673,32789,32583,36355,42885,47757,35815,30888,28395,20347,9347,3998
2010,44,大分県,女,24202,24953,26889,27301,26628,30669,35306,39162,35045,35273,39001,45283,51297,41891,39186,39057,33026,21592,13208
2015,44,大分県,男,23555,24999,26196,27362,26200,27894,31464,36253,39056,32882,32604,35944,42055,45772,33200,26980,22210,13161,5713
2015,44,大分県,女,22345,24169,24809,26111,25587,26927,30835,35241,38941,34679,35099,38844,45069,50502,40544,36882,34844,25901,18628
2020,44,大分県,男,20769,23378,24866,25677,25770,27011,28463,31631,36148,38760,32574,31985,34904,39958,42364,29086,21370,14729,8397
2020,44,大分県,女,19701,22272,24019,24338,25184,25912,26992,30682,34953,38504,34411,34836,38446,44159,48776,38121,33018,27776,24324
